position,team,played,won,draw,lost,goals_for,goals_against,points
1,Al-Hilal Saudi FC,34,31,3,0,101,23,96
2,Al-Nassr,34,26,4,4,100,42,82
3,Al-Ahli Jeddah,34,19,8,7,67,35,65
4,Al Taawon,34,16,11,7,51,35,59
5,Al-Ittihad FC,34,16,6,12,63,54,54
6,Al-Ettifaq,34,12,12,10,43,34,48
7,Al-Fateh,34,12,9,13,57,55,45
8,Al Shabab,34,12,8,14,45,42,44
9,Al-Fayha,34,11,11,12,44,52,44
10,Damac,34,10,11,13,44,45,41
11,Al Khaleej Saihat,34,9,10,15,36,47,37
12,Al-Raed,34,9,10,15,41,49,37
13,Al Wehda Club,34,10,6,18,45,60,36
14,Al Riyadh,34,8,11,15,33,57,35
15,Al Akhdoud,34,9,6,19,33,52,33
16,Abha,34,9,5,20,38,87,32
17,Al Taee,34,8,7,19,34,64,31
18,Al-Hazm,34,4,12,18,34,76,24
